date,coin_price,coin_volume
2025-09-25,306.69000244140625,8865300
2025-09-26,312.5899963378906,6714800
2025-09-29,333.989990234375,12066100
2025-09-30,337.489990234375,6674700
2025-10-01,346.1700134277344,8843900
2025-10-02,372.07000732421875,15750400
2025-10-03,380.0199890136719,13648200
2025-10-06,386.07000732421875,8693000
2025-10-07,375.7799987792969,9146300
2025-10-08,387.2699890136719,7122800
2025-10-09,387.0,6849000
2025-10-10,357.010009765625,17223600
2025-10-13,356.989990234375,10318400
2025-10-14,341.54998779296875,9446000
2025-10-15,336.29998779296875,7947300
2025-10-16,330.25,7611900
2025-10-17,336.0199890136719,9571100
2025-10-20,343.7799987792969,7544100
2025-10-21,338.6199951171875,6030900
2025-10-22,320.3299865722656,12737800
2025-10-23,322.760009765625,5866800
2025-10-24,354.4599914550781,13893100
2025-10-27,361.42999267578125,9688300
2025-10-28,355.2200012207031,6527800
2025-10-29,348.6099853515625,7560500
2025-10-30,328.510009765625,8947700
2025-10-31,343.7799987792969,13757300
2025-11-03,330.4200134277344,9341700
2025-11-04,307.32000732421875,12420300
2025-11-05,319.29998779296875,8215500
2025-11-06,295.2200012207031,12191200
2025-11-07,309.1400146484375,11984200
2025-11-10,317.92999267578125,8949800
2025-11-11,304.010009765625,7095200
2025-11-12,304.0,6967600
2025-11-13,283.1400146484375,11109500
2025-11-14,284.0,11784800
2025-11-17,263.95001220703125,15822400
2025-11-18,261.7900085449219,10854500
2025-11-19,257.2900085449219,13287300
2025-11-20,238.16000366210938,15524200
2025-11-21,240.41000366210938,12396500
2025-11-24,255.97000122070312,10005800
2025-11-25,254.1199951171875,8525300
2025-11-26,264.9700012207031,9929300
2025-11-28,272.82000732421875,8977800
2025-12-01,259.8399963378906,12119300
2025-12-02,263.260009765625,9059300
2025-12-03,276.9200134277344,9466700
2025-12-04,274.04998779296875,6469200
2025-12-05,269.7300109863281,7173500
2025-12-08,274.20001220703125,5937000
2025-12-09,277.3599853515625,7876600
2025-12-10,275.0899963378906,6818600
2025-12-11,269.0199890136719,7969600
2025-12-12,267.4599914550781,8180300
2025-12-15,250.4199981689453,10885700
2025-12-16,252.61000061035156,6907400
2025-12-17,244.19000244140625,8429500
2025-12-18,239.1999969482422,9291500
2025-12-19,245.1199951171875,10613000
2025-12-22,247.89999389648438,6233100
2025-12-23,242.3000030517578,7004200
2025-12-24,239.72999572753906,3869000
2025-12-26,236.89999389648438,5925700
2025-12-29,233.77000427246094,6362600
2025-12-30,231.60000610351562,5652100
2025-12-31,226.13999938964844,6678200
2026-01-02,236.52999877929688,8760200
2026-01-05,254.9199981689453,13695300
2026-01-06,250.55999755859375,8672500
2026-01-07,245.92999267578125,7488900
2026-01-08,245.58999633789062,6897200
2026-01-09,240.77999877929688,8104500
2026-01-12,242.97999572753906,5957300
2026-01-13,252.69000244140625,9027000
2026-01-14,255.86000061035156,10804500
2026-01-15,239.27999877929688,12098900
2026-01-16,241.14999389648438,7622400
2026-01-20,227.72999572753906,9757900
2026-01-21,226.92999267578125,8476500
2026-01-22,223.13999938964844,7088800
2026-01-23,216.9499969482422,12975100
2026-01-26,213.47999572753906,7077500
2026-01-27,210.8300018310547,7465500
2026-01-28,209.42999267578125,9046600
2026-01-29,199.17999267578125,14604300
2026-01-30,194.74000549316406,9635400
2026-02-02,187.86000061035156,12288700
2026-02-03,179.66000366210938,12610300
2026-02-04,168.6199951171875,16627600
2026-02-05,146.1199951171875,29610500
2026-02-06,165.1199951171875,19624400
